[2025-04-25 22:06:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 11, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-04-25T16:41:46.224000+00:00', 'pinned': False, 'nonce': '1365365782317367296', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1365362954186395802', '1365363100773126206'], 'premium_since': None, 'pending': False, 'nick': 'Bada bhaiya', 'mute': False, 'joined_at': '2025-02-26T17:46:49.044000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1365367193491210322', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'hi', 'components': [], 'channel_type': 0, 'channel_id': '1344362180719677481', 'author': {'username': 'rohit7be', 'public_flags': 0, 'primary_guild': None, 'id': '1268838238139973653', 'global_name': 'Rohit Singh', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'f7f2e9361e8a54ce6e72580ac7b967af'}, 'attachments': [], 'guild_id': '1344362179893137488'}}
[2025-04-25 22:06:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-04-25 22:06:10] [DEBUG   ] discord.client: Dispatching event message
[2025-04-25 22:06:45] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 11.
[2025-04-25 22:06:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-04-25 22:07:26] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 11.
[2025-04-25 22:07:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-04-25 22:08:07] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 11.
[2025-04-25 22:08:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-04-25 22:08:48] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 11.
[2025-04-25 22:08:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-04-25 22:09:30] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 11.
[2025-04-25 22:09:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-04-25 22:10:11] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 11.
[2025-04-25 22:10:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-04-25 22:10:52] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 11.
[2025-04-25 22:10:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
